accident_reference,casualty_type,accident_year,location_easting_osgr,location_northing_osgr,accident_severity,number_of_vehicles,number_of_casualties,road_surface_conditions,road_type,urban_or_rural_area,speed_limit,light_conditions,weather_conditions,lsoa_of_accident_location,dow,hour
1347I1326,Car,2018,431902,434864,Slight,2,1,Dry,Single carriageway,Urban,30,Darkness - lighting unknown,Fine no high winds,E01011677,Sun,17
134971519,Car,2018,421169,440497,Slight,1,1,Wet or damp,Single carriageway,Urban,20,Darkness - lights lit,Raining no high winds,E01011276,Wed,19
134981404,Car,2018,429857,434402,Slight,3,3,Dry,Dual carriageway,Urban,40,Darkness - lighting unknown,Fine no high winds,E01033008,Thu,18
135110140,Car,2018,433820,433502,Serious,1,1,Wet or damp,Single carriageway,Urban,30,Darkness - lights lit,Fine no high winds,E01011622,Mon,0
135110577,Car,2018,430660,430766,Serious,1,3,Wet or damp,Single carriageway,Urban,30,Darkness - lights lit,Fine no high winds,E01011468,Mon,3
135111304,Car,2018,431442,432717,Slight,2,1,Dry,Dual carriageway,Urban,40,Daylight,Fine no high winds,E01011626,Mon,13
135111365,Car,2018,429509,431308,Slight,2,3,Wet or damp,Single carriageway,Urban,30,Daylight,Raining no high winds,E01011373,Mon,14
135111450,Car,2018,428952,433434,Slight,2,1,Wet or damp,Slip road,Urban,30,Daylight,Fine no high winds,E01033015,Mon,15
135111461,Car,2018,428919,429888,Slight,2,1,Wet or damp,Single carriageway,Urban,30,Daylight,Raining no high winds,E01011320,Mon,15
135111524,Car,2018,425627,438001,Serious,2,2,Dry,Single carriageway,Urban,40,Daylight,Fine no high winds,E01011686,Mon,15
135130621,Car,2018,432664,436931,Slight,2,1,Wet or damp,Single carriageway,Urban,30,Daylight,Fine no high winds,E01011644,Wed,11
135131497,Car,2018,424059,428048,Serious,2,3,Wet or damp,Dual carriageway,Urban,30,Darkness - lights lit,Raining + high winds,E01011523,Wed,16
135141435,Car,2018,431843,435796,Slight,2,1,Wet or damp,Single carriageway,Urban,30,Darkness - lights lit,Raining + high winds,E01011422,Thu,17
135150878,Car,2018,430689,431925,Slight,2,2,Dry,Slip road,Urban,30,Daylight,Fine no high winds,E01011364,Fri,13
135151211,Motorcycle,2018,429886,435210,Slight,2,1,Wet or damp,Single carriageway,Urban,30,Darkness - lights lit,Fine no high winds,E01011670,Fri,16
135151410,Car,2018,424127,444006,Slight,2,3,Wet or damp,Single carriageway,Rural,60,Darkness - lights lit,Fine no high winds,E01032503,Fri,17
135151459,Car,2018,439062,433978,Slight,2,1,Dry,Dual carriageway,Rural,70,Darkness - lights unlit,Fine no high winds,E01011410,Fri,17
135160107,Car,2018,429246,433955,Slight,2,1,Wet or damp,Single carriageway,Urban,30,Darkness - lights lit,Fine no high winds,E01011678,Sat,1
135160854,Car,2018,422486,433074,Slight,3,1,Wet or damp,Single carriageway,Urban,30,Daylight,Fine no high winds,E01011600,Sat,13
135170529,Car,2018,426459,433842,Slight,2,1,Wet or damp,Single carriageway,Urban,30,Daylight,Fine no high winds,E01032608,Sun,11
135180490,Car,2018,422879,439315,Slight,2,1,Wet or damp,Single carriageway,Urban,30,Daylight,Fine no high winds,E01011455,Mon,10
135181330,Car,2018,431467,432552,Slight,2,1,Dry,Dual carriageway,Urban,30,Daylight,Fine no high winds,E01011626,Mon,16
135191266,Car,2018,424095,428091,Slight,2,1,Wet or damp,Slip road,Urban,70,Darkness - lighting unknown,Fine no high winds,E01011523,Tue,17
1351A0320,Car,2018,437768,432613,Slight,4,1,Wet or damp,Slip road,Rural,70,Daylight,Fog or mist,E01011402,Wed,8
1351A1433,Motorcycle,2018,432499,434064,Slight,2,1,Wet or damp,Single carriageway,Urban,30,Darkness - lights lit,Fine no high winds,E01011348,Wed,18
1351A1551,Car,2018,430944,436531,Slight,2,1,Dry,Dual carriageway,Urban,30,Daylight,Fine no high winds,E01011356,Wed,15
1351A1895,Car,2018,421988,436527,Slight,2,2,Wet or damp,Single carriageway,Rural,30,Darkness - lights lit,Fine no high winds,E01011591,Wed,22
1351B0632,Car,2018,428627,432517,Slight,2,1,Wet or damp,One way street,Urban,30,Daylight,Fine no high winds,E01011363,Wed,10
1351B0975,Car,2018,424572,434438,Slight,2,1,Dry,Single carriageway,Urban,30,Daylight,Fine no high winds,E01011287,Thu,15
1351B1212,Car,2018,423190,434659,Slight,2,1,Wet or damp,Single carriageway,Urban,30,Darkness - lights lit,Fine no high winds,E01011337,Thu,16
1351C0703,Motorcycle,2018,432273,434581,Slight,2,1,Dry,Single carriageway,Urban,30,Daylight,Fine no high winds,E01011344,Sat,12
1351C1211,Car,2018,428411,435013,Slight,2,1,Dry,Single carriageway,Urban,30,Daylight,Fine no high winds,E01011445,Fri,16
1351C1909,Car,2018,427787,436484,Slight,2,1,Wet or damp,Single carriageway,Urban,30,Darkness - lights lit,Fine no high winds,E01011692,Fri,20
1351D0387,Motorcycle,2018,422306,445990,Slight,1,1,Frost or ice,Single carriageway,Rural,60,Daylight,Fine no high winds,E01011569,Sat,7
1351D0810,Motorcycle,2018,426292,428015,Slight,2,1,Dry,Single carriageway,Urban,30,Daylight,Fine no high winds,E01011533,Sat,12
1351E1717,Car,2018,430241,434626,Slight,1,1,Dry,Single carriageway,Urban,30,Darkness - lights lit,Fine no high winds,E01033002,Sun,20
1351F0205,Motorcycle,2018,435288,434836,Slight,2,1,Wet or damp,Roundabout,Urban,40,Darkness - lights lit,Raining no high winds,E01011666,Mon,7
1351F1547,Car,2018,427741,436460,Slight,2,1,Dry,Single carriageway,Urban,30,Darkness - lights lit,Fine no high winds,E01011692,Mon,18
1351G1332,Motorcycle,2018,427732,425798,Slight,1,1,Snow,Dual carriageway,Urban,40,Darkness - lights lit,Snowing + high winds,E01011548,Tue,17
1351G1508,Car,2018,425482,438746,Slight,2,1,Snow,Single carriageway,Urban,30,Darkness - lights lit,Snowing no high winds,E01011388,Mon,18
1351G1876,Car,2018,432513,427318,Slight,2,1,Snow,Single carriageway,Urban,30,Darkness - lights lit,Snowing no high winds,E01032496,Tue,21
1351H0354,Car,2018,425900,434497,Slight,2,1,Snow,Single carriageway,Urban,30,Daylight,Raining no high winds,E01011283,Wed,8
1351H0915,Motorcycle,2018,439344,432363,Serious,2,1,Wet or damp,Roundabout,Rural,40,Daylight,Fine no high winds,E01011402,Wed,14
1351H1013,Car,2018,433394,435105,Serious,1,1,Wet or damp,Single carriageway,Urban,30,Daylight,Raining no high winds,E01011339,Wed,15
1351H1034,Car,2018,431434,431599,Slight,2,1,Wet or damp,Single carriageway,Urban,30,Darkness - lights lit,Raining no high winds,E01011468,Tue,8
1351I0448,Car,2018,419531,441575,Slight,2,2,Frost or ice,Single carriageway,Urban,30,Daylight,Other,E01011265,Thu,9
1351I0890,Car,2018,437771,433085,Slight,2,3,Dry,Dual carriageway,Rural,40,Daylight,Fine no high winds,E01011411,Thu,14
1351I1124,Car,2018,431970,435825,Slight,2,1,Dry,Dual carriageway,Urban,30,Daylight,Fine no high winds,E01011422,Thu,15
1351I1440,Car,2018,424278,428348,Slight,2,1,Wet or damp,Single carriageway,Urban,40,Darkness - lights lit,Raining no high winds,E01011523,Thu,17
1351J0285,Car,2018,430951,429996,Slight,3,1,Frost or ice,Single carriageway,Urban,20,Darkness - lighting unknown,Fine no high winds,E01011473,Fri,7
